tour_id|readcount_score|congestion_score|star_score|corona_score|senti|senti_count|senti_sum|senti_avg
3433|0.0|0.510325|3.917|0.036325678496868484|[['최고', 2], ['친구', 1], ['화', -2]]|3.0|1.0|0.3333333333333333
3434|0.07349|0.369575|0.0|0.036325678496868484||||
3435|0.4921300000000001|0.40235|0.0|0.036325678496868484||||
3436|0.0|0.5303|4.333|0.036325678496868484|[['최고', 2], ['친구', 1], ['피로', -1], ['욕', -2]]|4.0|0.0|0.0
3437|0.27586000000000005|0.551275|0.0|0.036325678496868484||||
3438|0.00015|0.590275|4.4|0.036325678496868484|[['맛', 2], ['불안', -2]]|2.0|0.0|0.0
3439|1.0|0.526125|0.0|0.036325678496868484||||
3440|0.22127|0.521425|0.0|0.036325678496868484||||
3441|0.42763999999999996|0.52985|4.0|0.036325678496868484||||
3442|0.5531|0.531725|0.0|0.036325678496868484||||
3443|0.053800000000000014|0.5|2.389|0.036325678496868484|[['최고', 2], ['ㅠ', -1], ['아쉬움', -1], ['불편', -2]]|4.0|-2.0|-0.5
3444|0.17659000000000002|0.25|0.0|0.036325678496868484||||
3445|0.23119|0.60295|3.2|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3446|0.00013000000000000002|0.54385|0.0|0.036325678496868484||||
3447|0.16725|0.496025|0.0|0.036325678496868484||||
3448|0.12245|0.567975|0.0|0.036325678496868484||||
3449|0.35994000000000004|0.473875|5.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3450|0.35209|0.529825|2.476|0.036325678496868484|[['강추', 2], ['만족', 2], ['최고', 2], ['친절', 2], ['편안', 2], ['안정', 1], ['운', 1], ['정', 1], ['피', 0], ['ㅜ', -1], ['ㅠ', -1], ['짐', -1], ['최악', -2], ['후회', -2]]|14.0|6.0|0.42857142857142855
3451|0.0256|0.47705|0.0|0.036325678496868484||||
3452|0.00013000000000000002|0.5794|1.0|0.036325678496868484||||
3453|0.2046|0.59855|0.0|0.036325678496868484||||
3454|0.00012000000000000003|0.591675|3.0|0.036325678496868484||||
3455|0.040580000000000005|0.522875|2.333|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3456|0.00015|0.44185|2.6|0.036325678496868484|[['최고', 2], ['친절', 2], ['최상', 1]]|3.0|5.0|1.6666666666666667
3457|0.00014|0.47795|4.667|0.036325678496868484|[['최고', 2], ['친절', 2]]|2.0|4.0|2.0
3458|4e-05|0.491525|4.667|0.036325678496868484|[['최고', 2], ['친절', 2]]|2.0|4.0|2.0
3459|0.32439|0.39285|5.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3460|0.00011|0.574775|0.0|0.036325678496868484||||
3461|0.50897|0.0|3.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3462|0.00018|0.6282|3.0|0.036325678496868484|[['맛', 2], ['친절', 2], ['지지', -1]]|3.0|3.0|1.0
3463|0.00014|0.52465|2.452|0.036325678496868484|[['맛', 2], ['최고', 2], ['친절', 2], ['ㅠ', -1], ['망신', -2], ['불편', -2], ['실망', -2]]|7.0|-1.0|-0.14285714285714285
3464|0.00015|0.369575|0.0|0.036325678496868484||||
3465|1.0|0.0|4.316|0.036325678496868484|[['감사', 2], ['맑은', 2], ['최고', 2], ['따름', 1], ['실망', -2]]|5.0|5.0|1.0
3466|0.19002|0.38195|0.0|0.036325678496868484||||
3467|7.000000000000001e-05|0.540325|1.849|0.036325678496868484|[['강추', 2], ['맛', 2], ['최고', 2], ['기대', 1], ['대접', 1], ['부족', -1], ['고통', -2], ['스트레스', -2], ['실망', -2]]|9.0|1.0|0.1111111111111111
3468|0.00018999999999999998|0.397325|2.188|0.036325678496868484|[['강추', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['적극', 1], ['불만', -2], ['최악', -2]]|7.0|4.0|0.5714285714285714
3469|0.0|0.576525|0.0|0.036325678496868484||||
3470|0.00013000000000000002|0.588975|5.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3471|0.051780000000000014|0.48595|3.818|0.036325678496868484|[['사랑', 2], ['친절', 2], ['행복', 2], ['수선', -1], ['불편', -2], ['최악', -2]]|6.0|1.0|0.16666666666666666
3472|0.00016|0.629875|3.75|0.036325678496868484|[['창', -1]]|1.0|-1.0|-1.0
3473|0.2692|0.0|2.733|0.036325678496868484|[['맛', 2], ['최고', 2], ['ㅠ', -1], ['짐', -1]]|4.0|2.0|0.5
3474|0.17820999999999998|0.515625|0.0|0.036325678496868484||||
3475|0.02625|0.464275|4.643|0.036325678496868484|[['강추', 2], ['맛', 2], ['최고', 2], ['친절', 2], ['합리적', 1]]|5.0|9.0|1.8
3476|0.030730000000000007|0.452975|2.2|0.036325678496868484|[['맛', 2], ['최고', 2], ['친절', 2], ['행복', 2], ['해', -2]]|5.0|6.0|1.2
3477|0.00011|0.6207|3.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3478|0.00018999999999999998|0.591825|1.714|0.036325678496868484|[['ㅜ', -1], ['모욕', -2]]|2.0|-3.0|-1.5
3479|0.35664|0.321425|4.25|0.036325678496868484|[['감사', 2], ['만족', 2], ['최고', 2], ['도움', 1]]|4.0|7.0|1.75
3480|9e-05|0.636675|2.536|0.036325678496868484|[['맛', 2], ['최고', 2], ['기대', 1], ['인정', 1], ['ㅠ', -1], ['부족', -1], ['짐', -1], ['병', -2], ['불편', -2], ['실망', -2], ['최악', -2], ['후회', -2]]|12.0|-7.0|-0.5833333333333334
3481|0.03976|0.4877|0.0|0.036325678496868484||||
3482|9e-05|0.5163|2.345|0.036325678496868484|[['강추', 2], ['만족', 2], ['맛', 2], ['최고', 2], ['적극', 1], ['부족', -1], ['불편', -2], ['최악', -2]]|8.0|4.0|0.5
3483|0.35631999999999997|0.25|0.0|0.036325678496868484||||
3484|0.1612|0.29465|0.0|0.036325678496868484||||
3485|7.000000000000001e-05|0.25|3.0610000000000004|0.036325678496868484|[['맑은', 2], ['장점', 2], ['최고', 2], ['킹', 2], ['행복', 2], ['인정', 1], ['친구', 1], ['못', 0], ['부족', -1], ['수선', -1], ['의심', -1], ['병', -2], ['부담', -2], ['최악', -2]]|14.0|3.0|0.21428571428571427
3486|0.28481|0.553575|1.915|0.036325678496868484|[['맛', 2], ['최고', 2], ['적극', 1], ['친구', 1], ['필수', 1], ['환상', -2]]|6.0|5.0|0.8333333333333334
3487|0.07699|0.4132|3.333|0.036325678496868484|[['최고', 2], ['도움', 1]]|2.0|3.0|1.5
3488|0.0|0.5771|0.0|0.036325678496868484||||
3489|0.06236000000000001|0.435975|4.659|0.036325678496868484|[['감동', 2], ['감사', 2], ['강추', 2], ['만족', 2], ['미소', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['인기', 1], ['ㅠ', -1], ['부족', -1], ['불편', -2], ['실망', -2], ['중상', -2], ['해', -2]]|15.0|6.0|0.4
3490|0.30233000000000004|0.523725|0.0|0.036325678496868484||||
3491|3.0000000000000008e-05|0.504175|3.2|0.036325678496868484||||
3492|0.00018999999999999998|0.38095|5.0|0.036325678496868484||||
3493|0.00011|0.62215|0.0|0.036325678496868484||||
3494|0.16016000000000002|0.3625|0.0|0.036325678496868484||||
3495|3.0000000000000008e-05|0.3919|3.25|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3496|0.00022|0.272725|0.0|0.036325678496868484||||
3497|0.4008600000000001|0.25|4.0|0.036325678496868484||||
3498|0.37103|0.520825|2.5|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3499|0.27739|0.520825|5.0|0.036325678496868484||||
3500|0.17375000000000002|0.291675|0.0|0.036325678496868484||||
3501|0.036910000000000005|0.4858|3.5|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3502|4e-05|0.597825|3.0|0.036325678496868484|[['최고', 2], ['친절', 2], ['ㅜ', -1], ['부담', -2]]|4.0|1.0|0.25
3503|2e-05|0.504175|0.0|0.036325678496868484||||
3504|0.045989999999999996|0.6111|0.0|0.036325678496868484||||
3505|0.0|0.54755|0.0|0.036325678496868484||||
3506|0.00014|0.491375|3.3480000000000003|0.036325678496868484|[['감동', 2], ['강추', 2], ['만족', 2], ['맑은', 2], ['맛', 2], ['멋', 2], ['명성', 2], ['장점', 2], ['즐거움', 2], ['최고', 2], ['친절', 2], ['기대', 1], ['인정', 1], ['합리적', 1], ['ㅠ', -1], ['듣보', -1], ['짐', -1], ['충격', -1], ['부담', -2], ['실망', -2], ['어려움', -2], ['최악', -2], ['해', -2], ['환상', -2]]|24.0|9.0|0.375
3507|3.0000000000000008e-05|0.62655|2.219|0.036325678496868484|[['맛', 2], ['장점', 2], ['최고', 2], ['운', 1], ['실망', -2], ['최악', -2]]|6.0|3.0|0.5
3508|0.18687|0.5984|4.0|0.036325678496868484||||
3509|0.0|0.646675|0.0|0.036325678496868484||||
3510|0.057470000000000014|0.45455|3.857|0.036325678496868484|[['강추', 2], ['만족', 2], ['친절', 2], ['미안', -1], ['악취', -1]]|5.0|4.0|0.8
3511|6.0000000000000015e-05|0.46155|0.0|0.036325678496868484||||
3512|4e-05|0.5283|0.0|0.036325678496868484||||
3513|7.000000000000001e-05|0.44445|1.7|0.036325678496868484|[['최고', 2], ['인기', 1], ['웬수', -2]]|3.0|1.0|0.3333333333333333
3514|0.0|0.32895|0.0|0.036325678496868484||||
3515|3.0000000000000008e-05|0.589825|4.333|0.036325678496868484|[['친절', 2], ['기대', 1], ['친구', 1]]|3.0|4.0|1.3333333333333333
3516|0.30614|0.504075|0.0|0.036325678496868484||||
3517|0.19627999999999998|0.463625|0.5|0.036325678496868484||||
3518|0.28036|0.4853|2.938|0.036325678496868484|[['최고', 2], ['못', 0], ['추운', -1], ['실망', -2], ['최악', -2]]|5.0|-3.0|-0.6
3519|0.00013000000000000002|0.475|2.833|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3520|7.000000000000001e-05|0.55555|4.857|0.036325678496868484|[['최고', 2], ['합리적', 1]]|2.0|3.0|1.5
3521|4e-05|0.55555|0.0|0.036325678496868484||||
3522|9e-05|0.588625|0.0|0.036325678496868484||||
3523|9e-05|0.61765|2.4|0.036325678496868484|[['맛', 2], ['ㅜ', -1], ['실망', -2]]|3.0|-1.0|-0.3333333333333333
3524|0.25577|0.433325|0.0|0.036325678496868484||||
3525|0.017410000000000002|0.25|5.0|0.036325678496868484|[['최고', 2]]|1.0|2.0|2.0
3526|0.0182|0.3125|0.0|0.036325678496868484||||
3527|0.24331999999999998|0.5205|0.0|0.036325678496868484||||
3528|0.16021000000000002|0.5205|0.0|0.036325678496868484||||
