,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
371,87,91,27,56,69,34,21,11,10,13,21,100
372,24,24,20,18,19,19,20,100,19,15,14,19
373,66,69,73,74,69,81,100,74,75,75,62,75
374,63,64,69,59,78,100,82,73,67,54,47,61
375,79,100,75,52,57,54,58,55,58,53,48,50
376,77,100,82,66,63,64,69,58,64,66,56,67
377,62,87,100,24,12,14,15,12,21,29,9,17
378,72,67,100,91,64,59,77,64,92,83,58,62
379,0,0,0,0,0,100,0,100,0,0,0,0
380,27,25,24,100,52,31,26,28,33,27,33,28
381,76,90,64,52,62,70,100,81,81,54,51,73
382,0,18,0,0,36,100,36,0,0,58,36,15
383,73,73,84,80,98,100,88,83,77,73,82,76
384,88,61,67,25,20,75,100,33,96,26,40,36
385,73,79,61,37,49,42,91,97,91,94,80,100
386,74,85,100,63,54,77,98,73,79,75,53,91
387,74,85,74,56,58,63,61,75,100,97,67,72
388,90,100,51,42,25,22,30,29,41,49,14,30
389,100,70,65,55,90,68,56,59,57,51,55,56
390,74,85,74,55,56,62,60,72,100,98,65,71
391,0,0,0,0,0,0,0,0,0,0,0,0
392,100,37,70,63,17,0,0,0,0,0,0,0
393,45,34,29,28,41,70,100,81,68,51,59,71
394,26,26,31,24,26,24,45,39,35,100,32,31
395,41,51,34,25,12,21,30,84,44,33,100,42
396,61,69,57,45,25,57,55,33,33,65,100,45
397,77,81,100,82,76,90,90,71,76,82,80,71
398,72,74,80,73,79,100,92,71,75,66,64,61
399,82,92,100,77,84,82,78,72,81,69,63,80
400,58,32,0,0,0,8,0,0,68,100,16,42
401,47,29,25,100,17,17,25,12,14,10,18,28
402,74,100,81,74,72,78,99,68,71,73,63,73
403,0,0,0,0,0,0,0,0,0,0,0,0
404,45,55,59,61,64,63,71,72,76,80,100,97
405,61,63,100,66,62,69,88,63,62,63,57,60
406,100,78,26,16,0,8,45,7,23,32,14,68
407,77,79,85,73,89,81,83,82,80,88,99,100
408,77,77,89,81,98,100,90,85,80,74,84,80
409,57,67,62,56,73,76,84,91,90,100,83,92
410,59,50,51,53,68,76,100,95,95,87,93,79
411,0,0,0,0,0,0,0,0,0,0,0,0
412,73,64,71,75,61,99,100,85,61,62,68,69
413,50,0,36,100,0,0,0,0,50,0,0,0
414,57,100,95,49,40,42,40,38,46,44,34,40
415,82,73,40,100,44,38,44,29,28,26,22,26
416,100,78,0,19,37,0,56,19,37,78,0,48
417,73,73,84,80,98,100,88,83,77,73,82,76
418,67,67,71,100,78,80,93,80,83,77,70,74
419,100,74,56,89,28,37,34,27,28,52,63,58
420,69,73,87,64,72,97,100,73,65,53,60,85
421,0,8,0,0,0,0,0,100,0,0,0,8
422,88,95,73,53,51,72,87,90,100,93,75,89
423,94,100,77,53,58,70,72,70,65,70,60,62
424,100,68,69,65,79,88,77,76,84,51,71,86
425,89,31,51,33,100,23,24,28,36,46,32,36
426,84,100,60,34,24,53,56,39,43,24,12,19
427,100,95,74,52,25,28,46,36,49,33,20,41
428,100,77,90,74,52,62,53,45,48,40,48,51
429,0,0,0,0,25,41,8,32,61,10,73,100
430,70,62,57,62,83,98,100,84,84,75,88,93
431,78,100,82,44,56,96,74,50,77,55,29,28
432,45,50,47,39,44,42,95,93,100,67,37,68
433,34,40,28,23,100,31,23,34,40,35,26,42
434,100,37,70,27,30,33,27,28,26,32,30,30
435,73,87,81,84,69,92,100,83,77,71,72,74
436,65,67,78,78,85,88,99,95,100,87,81,85
437,73,100,74,69,90,92,89,90,80,75,79,80
438,100,19,6,6,6,44,31,26,27,8,14,58
439,87,95,95,61,59,91,80,100,81,73,56,70
440,77,77,72,60,55,65,84,79,100,86,64,76
441,74,100,76,44,32,38,44,34,43,39,25,41
442,80,100,82,81,59,55,79,53,64,75,51,57
443,0,0,0,100,0,0,0,0,0,0,0,0
444,73,100,76,44,31,38,45,35,44,40,25,41
445,73,100,76,44,31,38,46,35,44,40,30,42
446,82,93,100,78,63,56,72,51,43,59,26,29
447,77,100,94,55,86,60,42,42,40,44,45,46
448,75,100,87,42,26,25,64,32,46,58,36,56
449,56,69,68,86,100,74,50,48,43,53,38,41
450,73,75,85,78,91,87,82,80,89,87,95,100
451,73,67,68,66,87,96,100,99,93,87,84,87
452,7,6,6,8,10,10,65,28,42,34,52,100
453,83,100,90,60,65,66,70,66,67,64,57,71
454,77,76,80,77,85,96,100,88,88,87,82,94
455,76,74,76,76,83,93,95,86,84,97,88,100
456,72,100,69,55,52,54,69,69,72,61,46,61
457,76,89,75,54,54,60,59,70,98,100,64,71
458,72,66,56,54,67,84,100,100,82,70,65,86
459,94,100,32,22,9,10,21,25,52,20,2,0
460,54,71,49,43,40,47,48,91,81,52,43,100
461,60,54,64,46,81,19,48,46,9,100,0,16
462,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,100,0,0,0,0,0,0,0,0
464,65,100,76,53,42,45,51,41,49,43,35,53
465,81,82,84,87,100,99,98,95,93,94,95,94
466,78,100,84,66,75,72,87,76,91,88,69,77
467,58,100,87,30,4,7,5,6,8,2,4,5
468,57,75,66,41,26,31,25,28,100,33,26,34
469,100,95,23,19,21,26,53,51,64,54,59,87
470,59,52,33,0,0,100,74,0,0,0,0,0
471,92,57,55,26,30,41,47,38,47,38,44,100
472,92,58,55,27,30,41,47,39,47,39,44,100
473,92,58,56,27,31,42,48,39,48,39,45,100
474,84,86,91,86,100,92,90,89,91,86,89,84
475,15,55,24,19,100,27,29,56,26,54,38,33
476,64,100,76,53,41,42,48,39,48,45,35,52
477,3,4,3,3,3,3,4,100,13,8,7,10
478,87,99,100,91,97,93,87,86,95,85,82,75
479,57,100,59,33,24,12,20,16,21,37,22,36
480,46,34,36,33,69,87,74,59,55,35,73,100
481,60,34,39,31,42,41,94,81,99,69,70,100
482,70,65,63,49,69,94,94,89,98,72,77,100
483,100,81,73,33,29,27,30,31,45,50,22,38
484,55,51,58,56,52,100,62,55,57,49,54,49
485,22,20,28,21,31,67,76,63,63,38,81,100
486,39,100,50,37,41,59,72,56,47,47,40,56
487,36,70,0,18,0,100,30,0,30,0,0,15
488,78,100,66,55,35,52,70,61,74,62,55,83
489,63,77,58,99,88,100,59,93,56,54,58,59
490,98,99,89,81,69,84,97,81,87,100,81,93
491,53,100,99,83,41,37,44,43,50,40,35,46
492,29,49,52,40,49,49,59,79,100,74,55,70
493,30,10,3,8,6,100,36,37,53,10,9,24
494,65,100,63,43,45,53,59,67,60,48,59,60
495,46,52,41,38,35,37,49,48,51,55,100,61
496,93,100,86,77,65,70,74,63,78,65,59,79
497,93,100,86,77,65,70,74,63,78,65,59,79
498,66,89,100,26,14,16,21,15,24,30,18,41
499,8,54,49,34,83,100,63,32,32,19,9,17
500,26,33,75,100,46,49,40,34,45,40,28,58
501,75,78,100,77,78,73,89,79,87,68,79,75
502,100,66,44,44,34,26,27,26,34,44,63,36
503,59,81,44,37,0,19,67,48,41,0,0,100
504,88,100,95,63,57,60,65,57,66,75,51,65
505,88,100,95,62,57,60,65,57,66,75,51,65
506,0,0,0,0,0,0,0,0,0,0,0,0
507,38,39,30,19,5,9,41,27,16,14,42,100
508,100,25,0,0,0,21,10,38,73,33,19,31
509,84,100,81,40,33,40,48,33,38,36,40,56
510,55,100,60,41,45,24,56,46,56,44,28,45
511,79,84,82,58,49,62,69,66,80,100,62,68
512,79,84,82,58,50,62,69,66,80,100,62,68
513,2,2,1,2,2,44,100,38,34,54,24,32
514,100,50,37,22,6,30,26,23,66,33,22,38
515,100,78,67,68,33,27,34,29,36,49,58,50
516,65,60,100,9,0,9,0,22,36,13,9,38
517,38,60,65,41,46,67,78,100,77,68,36,43
518,100,95,79,42,46,53,51,50,56,57,56,73
519,90,100,90,57,57,79,92,75,89,73,62,80
520,0,30,2,0,8,2,0,0,2,7,100,13
521,100,100,100,76,81,78,74,73,74,73,71,71
522,100,98,20,35,0,17,17,0,22,8,17,8
523,100,60,27,25,4,69,53,14,38,31,14,23
524,86,74,57,43,44,58,75,55,61,68,51,100
525,15,20,17,94,100,52,76,36,25,25,23,20
526,50,92,100,74,58,54,42,67,49,46,70,71
527,51,56,100,42,17,17,23,16,16,17,12,18
