,tour_id,congestion_1,congestion_2,congestion_3,congestion_4,congestion_avg,congestion_max,road_total,measured_at
1766,1767,18,56,90,24,2.6383,3,188,2020/10/14 14:28
1767,1768,16,50,84,18,2.619,3,168,2020/10/14 14:28
1768,1769,33,19,34,15,2.3069,3,101,2020/10/14 14:28
1769,1770,4,10,27,15,2.9464,3,56,2020/10/14 14:28
1770,1771,28,40,50,15,2.391,3,133,2020/10/14 14:28
1771,1772,12,12,56,16,2.7917,3,96,2020/10/14 14:28
1772,1773,54,40,63,12,2.1953,3,169,2020/10/14 14:28
1773,1774,1,19,36,4,2.7167,3,60,2020/10/14 14:28
1774,1775,20,18,58,19,2.6609,3,115,2020/10/14 14:28
1775,1776,19,40,71,13,2.5455,3,143,2020/10/14 14:28
1776,1777,0,0,0,0,0.0,0,0,
1777,1778,11,23,33,7,2.4865,3,74,2020/10/14 14:28
1778,1779,9,18,49,18,2.8085,3,94,2020/10/14 14:28
1779,1780,16,33,60,17,2.619,3,126,2020/10/14 14:28
1780,1781,16,37,85,24,2.7222,3,162,2020/10/14 14:28
1781,1782,16,8,15,2,2.0732,1,41,2020/10/14 14:28
1782,1783,15,10,14,1,2.025,1,40,2020/10/14 14:28
1783,1784,20,34,53,8,2.4261,3,115,2020/10/14 14:28
1784,1785,5,38,94,32,2.9053,3,169,2020/10/14 14:28
1785,1786,26,36,55,11,2.3984,3,128,2020/10/14 14:28
1786,1787,35,34,29,2,1.98,1,100,2020/10/14 14:28
1787,1788,37,33,39,1,2.0364,3,110,2020/10/14 14:28
1788,1789,9,15,30,6,2.55,3,60,2020/10/14 14:28
1789,1790,11,33,105,36,2.8973,3,185,2020/10/14 14:28
1790,1791,15,32,78,27,2.7697,3,152,2020/10/14 14:28
1791,1792,23,24,34,7,2.2841,3,88,2020/10/14 14:28
1792,1793,40,36,43,15,2.2463,3,134,2020/10/14 14:28
1793,1794,25,35,51,9,2.3667,3,120,2020/10/14 14:28
1794,1795,13,43,113,35,2.8333,3,204,2020/10/14 14:28
1795,1796,26,43,58,21,2.5,3,148,2020/10/14 14:28
1796,1797,20,49,103,36,2.7452,3,208,2020/10/14 14:28
1797,1798,22,49,88,30,2.6667,3,189,2020/10/14 14:28
1798,1799,24,27,25,7,2.1807,2,83,2020/10/14 14:28
1799,1800,13,24,55,8,2.58,3,100,2020/10/14 14:28
1800,1801,10,26,56,16,2.7222,3,108,2020/10/14 14:28
1801,1802,8,7,28,3,2.5652,3,46,2020/10/14 14:28
1802,1803,17,55,86,24,2.6429,3,182,2020/10/14 14:28
1803,1804,6,17,33,16,2.8194,3,72,2020/10/14 14:28
1804,1805,15,12,15,1,2.0465,1,43,2020/10/14 14:28
1805,1806,19,29,37,6,2.3297,3,91,2020/10/14 14:28
1806,1807,14,23,46,16,2.6465,3,99,2020/10/14 14:28
1807,1808,8,24,31,7,2.5286,3,70,2020/10/14 14:28
1808,1809,12,27,58,10,2.6168,3,107,2020/10/14 14:28
1809,1810,14,37,75,15,2.6454,3,141,2020/10/14 14:28
1810,1811,23,27,44,8,2.3627,3,102,2020/10/14 14:28
1811,1812,6,36,104,36,2.9341,3,182,2020/10/14 14:28
1812,1813,26,45,65,23,2.5346,3,159,2020/10/14 14:28
1813,1814,11,33,105,36,2.8973,3,185,2020/10/14 14:28
1814,1815,21,50,93,30,2.6804,3,194,2020/10/14 14:28
1815,1816,32,20,20,3,1.92,1,75,2020/10/14 14:28
1816,1817,11,33,105,36,2.8973,3,185,2020/10/14 14:28
1817,1818,21,49,90,30,2.6789,3,190,2020/10/14 14:28
